id,code,Name,category,price_member,price_non_member,pic
,0,Espresso                                                                  ,drink,1000,1500,
,1,Americano                                                            ,drink,1200,1700,
,2,Latte                                                                        ,drink,1500,2000,
,3,Latte -Small                                                               ,drink,1200,1500,
,4,Cappuccino                                                              ,drink,1500,2000,
,5,Cappuccino -Small                                                  ,drink,1200,1500,
,6,Mocha                                                                      ,drink,1700,2200,
,7,Mocha-Small                                                           ,drink,1300,1700,
,8,Hot Chocolate                                                            ,drink,700,1200,
,9,Cocoa                                                                           ,drink,700,1200,
,10,Tea with Milk                                                             ,drink,500,1000,
,11,African Tea                                                                 ,drink,700,1200,
,12,Ginger Tea                                                               ,drink,500,1000,
,13,Lemon Tea                                                                 ,drink,500,1000,
,14,Tea Masala Tea                                                           ,drink,500,1000,
,15,Black Tea                                                                      ,drink,300,800,
,16,Green Tea                                                                     ,drink,300,800,
,17,Soda                                                                              ,drink,400,400/500,
,18,Coca zero                                                                   ,drink,1000,1000,
,19,Red Bull                                                                   ,drink,1500,1500,
,20,Juice                                                                             ,drink,800,800,
,21,Water 1/2L                                                                      ,drink,400,400,
,22,Water 1L                                 ,drink,700,700,
,23,Fresh Milk                                                                     ,drink,500,500,
,24,Curdled Milk Small                                                      ,drink,400,400,
,25,Curdled Milk Big                                                            ,drink,600,600,
,26,Yoghurt Small                                                                                             ,drink,500,500,
,27,Yoghurt Big                                                                      ,drink,700,700,
,28,Capati                                                                           ,food,200,200,
,29,Doughnut                                                                     ,food,150,150,
,30,Cake                                                                              ,food,300,300,
,31,Samosa                                                                         ,food,300,300,
,32,Meatball                                                                        ,food,300,300,
,33,Pancake                                                                         ,food,400,400,
,34,Pizza                                                                              ,food,600,600,
,35,Gosette                                                                          ,food,600,600,
,36,Boiled egg                                                                       ,food,150,150,
,37,Chocolate Bread                                                              ,food,500,500,
